phase,model,batch_size,ok,oom,steps,warmup_steps,mean_step_s,median_step_s,p90_step_s,timed_step_s_total,setup_s,torch_peak_allocated_gb,torch_peak_reserved_gb,nvidia_smi_peak_gb,device_name,cuda_version,text_path,chunk_count,error,stderr_tail,target_gb
explore,C2_finbert_s2,5,False,True,,,,,,,7.2853,23.184,23.205,,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,16.0,"OutOfMemoryError: CUDA out of memory. Tried to allocate 120.00 MiB. GPU 0 has a total capacity of 23.56 GiB of which 46.00 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 23.18 GiB is allocated by PyTorch, and 21.64 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)",,22.0
final,C2_finbert_s2,4,True,False,30.0,3.0,0.903121,0.903509,0.905482,27.0937,7.1746,19.802,20.346,20.663,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,16.0,,,22.0
explore,C2_finbert_s3,2,True,False,30.0,3.0,0.463419,0.463345,0.464735,13.9026,7.0279,10.565,10.879,11.196,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,16.0,,,22.0
explore,C2_finbert_s3,3,True,False,30.0,3.0,0.692316,0.692562,0.693253,20.7696,7.1081,15.189,15.377,15.694,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,16.0,,,22.0
explore,C2_finbert_s3,4,True,False,30.0,3.0,0.905449,0.905115,0.907306,27.1635,7.2125,19.804,20.348,20.665,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,16.0,,,22.0
explore,C2_finbert_s3,5,False,True,,,,,,,8.614,23.184,23.205,,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,16.0,"OutOfMemoryError: CUDA out of memory. Tried to allocate 120.00 MiB. GPU 0 has a total capacity of 23.56 GiB of which 46.00 MiB is free. Including non-PyTorch memory, this process has 23.51 GiB memory in use. Of the allocated memory 23.18 GiB is allocated by PyTorch, and 21.27 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)",,22.0
final,C2_finbert_s3,4,True,False,30.0,3.0,0.903772,0.904212,0.906024,27.1132,7.1657,19.804,20.348,20.665,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,16.0,,,22.0
explore,C2_finbert_s4,2,True,False,30.0,3.0,0.464961,0.464911,0.466068,13.9489,7.0906,10.671,10.945,11.265,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,16.0,,,22.0
explore,C2_finbert_s4,3,True,False,30.0,3.0,0.693947,0.694192,0.695502,20.8185,9.2754,15.294,15.469,15.788,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,16.0,,,22.0
explore,C2_finbert_s4,4,True,False,30.0,3.0,0.906792,0.906816,0.90847,27.2038,7.5788,19.909,20.463,20.78,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,16.0,,,22.0
explore,C2_finbert_s4,5,False,True,,,,,,,7.4133,23.211,23.225,,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,16.0,"OutOfMemoryError: CUDA out of memory. Tried to allocate 120.00 MiB. GPU 0 has a total capacity of 23.56 GiB of which 26.00 MiB is free. Including non-PyTorch memory, this process has 23.53 GiB memory in use. Of the allocated memory 23.21 GiB is allocated by PyTorch, and 13.98 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)",,22.0
final,C2_finbert_s4,4,True,False,30.0,3.0,0.905313,0.905887,0.907535,27.1594,7.3394,19.909,20.463,20.78,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,16.0,,,22.0
explore,C3_roberta_s1,8,True,False,30.0,3.0,0.152605,0.152504,0.153097,4.5782,44.5848,3.805,4.109,4.427,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,"Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.",22.0
explore,C3_roberta_s1,16,True,False,30.0,3.0,0.285167,0.285415,0.28611,8.5551,2.1656,6.113,6.406,6.724,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,"Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.",22.0
explore,C3_roberta_s1,24,True,False,30.0,3.0,0.406685,0.406396,0.407998,12.2006,2.083,8.449,8.723,9.04,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,"Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.",22.0
explore,C3_roberta_s1,32,True,False,30.0,3.0,0.528905,0.528982,0.530261,15.8672,2.0575,10.78,10.969,11.286,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,"Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.",22.0
explore,C3_roberta_s1,48,True,False,30.0,3.0,0.791368,0.791262,0.792334,23.7411,2.1235,15.428,15.713,16.03,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,"Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.",22.0
explore,C3_roberta_s1,64,True,False,30.0,3.0,1.040167,1.04022,1.042053,31.2051,2.0718,20.067,20.402,20.72,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,"Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.",22.0
explore,C3_roberta_s1,68,True,False,30.0,3.0,1.094287,1.094071,1.096394,32.8287,2.1489,21.235,21.545,21.862,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,"Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.",22.0
explore,C3_roberta_s1,72,True,False,30.0,3.0,1.199474,1.199261,1.200917,35.9843,2.0179,22.391,22.678,22.995,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,"Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.",22.0
explore,C3_roberta_s1,8,True,False,30.0,3.0,0.152566,0.152262,0.153889,4.577,2.1929,3.805,4.109,4.427,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,"Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.",22.0
explore,C3_roberta_s1,16,True,False,30.0,3.0,0.285877,0.285956,0.287043,8.5764,2.2235,6.113,6.406,6.724,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,"Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.",22.0
explore,C3_roberta_s1,24,True,False,30.0,3.0,0.407035,0.406697,0.408915,12.2111,1.9691,8.449,8.723,9.04,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,"Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.",22.0
explore,C3_roberta_s1,32,True,False,30.0,3.0,0.530044,0.529684,0.531543,15.9014,1.9448,10.78,10.969,11.286,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,"Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.",22.0
explore,C3_roberta_s1,48,True,False,30.0,3.0,0.793158,0.793063,0.795187,23.7948,1.9066,15.428,15.713,16.03,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,"Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.",22.0
explore,C3_roberta_s1,64,True,False,30.0,3.0,1.040415,1.040288,1.042608,31.2125,2.0911,20.067,20.402,20.72,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,"Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.",22.0
explore,C3_roberta_s1,68,True,False,30.0,3.0,1.093358,1.093112,1.09525,32.8008,1.9856,21.235,21.545,21.862,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,"Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.",22.0
explore,C3_roberta_s1,72,True,False,30.0,3.0,1.200006,1.199813,1.202343,36.0003,2.0886,22.391,22.678,22.995,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,"Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.",22.0
final,C3_roberta_s1,72,True,False,30.0,3.0,1.199814,1.199258,1.202024,35.9945,1.9669,22.391,22.678,22.995,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,"Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.",22.0
explore,D1_concat_mlp,8,True,False,30.0,3.0,0.157931,0.157604,0.158737,4.738,2.7611,3.637,3.875,4.192,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,D1_concat_mlp,16,True,False,30.0,3.0,0.297503,0.297042,0.300265,8.9252,2.5761,5.941,6.143,6.46,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,D1_concat_mlp,24,True,False,30.0,3.0,0.423306,0.42324,0.424608,12.6992,2.621,8.279,8.496,8.813,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,D1_concat_mlp,32,True,False,30.0,3.0,0.550952,0.550479,0.553659,16.5286,2.8996,10.611,10.865,11.183,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,D1_concat_mlp,48,True,False,30.0,3.0,0.824007,0.823609,0.825407,24.7203,2.556,15.258,15.445,15.763,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,D1_concat_mlp,64,True,False,30.0,3.0,1.084207,1.084005,1.086098,32.5263,2.8112,19.897,20.439,20.757,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,D1_concat_mlp,68,True,False,30.0,3.0,1.145972,1.145246,1.151659,34.3793,2.6805,21.065,21.391,21.708,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,D1_concat_mlp,72,True,False,30.0,3.0,1.252512,1.251849,1.255379,37.5755,2.8391,22.223,22.516,22.833,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
final,D1_concat_mlp,72,True,False,30.0,3.0,1.268134,1.268916,1.273632,38.0442,2.8982,22.223,22.516,22.833,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,D2_gated_fusion,8,True,False,30.0,3.0,0.161743,0.161545,0.162899,4.8524,2.9937,3.637,3.877,4.194,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,D2_gated_fusion,16,True,False,30.0,3.0,0.302699,0.30263,0.305978,9.0811,3.2886,5.942,6.143,6.46,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,D2_gated_fusion,24,True,False,30.0,3.0,0.431842,0.431984,0.434808,12.9554,2.8614,8.279,8.496,8.813,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,D2_gated_fusion,32,True,False,30.0,3.0,0.561455,0.56145,0.563908,16.8438,2.8742,10.611,10.865,11.183,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,D2_gated_fusion,48,True,False,30.0,3.0,0.83916,0.839522,0.843722,25.175,3.0958,15.258,15.445,15.763,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,D2_gated_fusion,64,True,False,30.0,3.0,1.093781,1.092514,1.101191,32.8135,2.7724,19.897,20.439,20.757,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,D2_gated_fusion,68,True,False,30.0,3.0,1.14982,1.149261,1.153357,34.4947,2.8489,21.066,21.391,21.708,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
explore,D2_gated_fusion,72,True,False,30.0,3.0,1.272225,1.272237,1.279816,38.1669,3.0022,22.223,22.516,22.833,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
final,D2_gated_fusion,72,True,False,30.0,3.0,1.26887,1.270282,1.275459,38.0663,2.8987,22.223,22.516,22.833,NVIDIA GeForce RTX 3090,12.8,/root/rivermind-data/sp500vol-probe-texts/01_SO_2017-02-22_0000092122-17-000007.txt,,,,22.0
